facility_id,facility_name,full_address,postal_code,snapshot_date
115,St Andrews Senior Care @ Hillview,4 Hillview Rise Hillv2 #02-22 Singapore 667979,667979,3/12/2026
116,St Andrews Senior Care @ Tampines Central,1 Tampines Walk Our Tampines Hub #04-33 Singapore 528523,528523,3/12/2026
117,St Hilda's Community Services Centre,10 Jalan Batu #01-146 Singapore 431010,431010,3/12/2026
118,St John Singapore,420 Beach Road Singapore 199582,199582,3/12/2026
119,St Lukes ElderCare Active Ageing Centre (Care) @ Anchorvale,353 Anchorvale Lane #01-01 Singapore 540353,540353,3/12/2026
120,St Lukes ElderCare Active Ageing Centre (Care) @ Bishan,152B Bishan Street 11 Golden Jasmine #01-271 Singapore 572152,572152,3/12/2026
121,St Lukes ElderCare Active Ageing Centre (Care) @ Northshore,417 Northshore Drive #01-02/03 Singapore 820417,820417,3/12/2026
122,St Lukes Eldercare Residence @ Ang Mo Kio,2 Ang Mo Kio Street 23 Singapore 569341,569341,3/12/2026
123,St Lukes Eldercare - Active Ageing Centre (Care) @ Teck Whye Vista,153 Jalan Teck Whye #03-151 Singapore 680153,680153,3/12/2026
124,St Lukes Eldercare Centre @ Ang Mo Kio,2 Ang Mo Kio Street 23 Singapore 569341,569341,3/12/2026
125,St Andrews Senior Care @ Bedok North,222C Bedok North Drive #01-66 Singapore 463222,463222,3/12/2026
126,St Andrews Senior Care @ Bedok South,152A Bedok South Road #02-01/02 Singapore 461152,461152,3/12/2026
127,St Lukes Eldercare - Ayer Rajah Centre,150A Pandan Gardens #01-01 Singapore 609342,609342,3/12/2026
128,St Lukes Eldercare - Bukit Timah Centre,310 Clementi Avenue 4 Clementi Meadows #01-263 Singapore 120310,120310,3/12/2026
129,St Lukes Eldercare - Changkat Centre,350 Tampines Street 33 #01-3438 Singapore 520350,520350,3/12/2026
130,St Lukes Eldercare - Clementi Centre,602 Clementi West Street 1 #01-25 Singapore 120602,120602,3/12/2026
131,St Lukes Eldercare - Golden Years Centre,831 Hougang Central #01-1506 Singapore 530831,530831,3/12/2026
132,St Lukes Eldercare - Hougang Centre,126 Hougang Avenue 1 #01-1506 Singapore 530126,530126,3/12/2026
133,St Lukes Eldercare Ltd - Chong Pang,113 Yishun Ring Road #01-457 Singapore 760113,760113,3/12/2026
134,St Lukes Eldercare Ltd - Nee Soon Central,766 Yishun Avenue 3 #01-295 Singapore 760766,760766,3/12/2026
135,St Lukes Eldercare Ltd - Nee Soon East,260 Yishun Street 22 #01-97 Singapore 760260,760260,3/12/2026
136,Sunlove Senior Care Centre @ Ang Mo Kio,557 Ang Mo Kio Avenue 10 Cheng San Place #01-1874 Singapore 560557,560557,3/12/2026
137,Sunshine Welfare Action Mission (SWAMI),5 Sembawang Walk SWAMI Home For The Aged Singapore 757717,757717,3/12/2026
138,THK SCC @ Kaki Bukit / Bedok North,534 Bedok North Street 3 #01-814 Singapore 460534,460534,3/12/2026
139,The Salvation Army Peacehaven @ Bedok Arena,187 Bedok North Street 4 #01-02 Singapore 460187,460187,3/12/2026
140,The Salvation Army Peacehaven @ Jade Circle ARENA,9 Upper Changi Road North Singapore 507706,507706,3/12/2026
141,The Salvation Army Peacehaven @ Bedok Day Centre,121 Bedok North Road #01-161 Singapore 460121,460121,3/12/2026
142,Thong Teck Home,91 Geylang East Avenue 2 Singapore 389759,389759,3/12/2026
143,Tsao Foundation,298 Tiong Bahru Road Central Plaza #15-01 Singapore 168730,168730,3/12/2026
144,Vanguard Senior Care @ Senja,50 Woodlands Road Singapore 677726,677726,3/12/2026
145,Vanguard Senior Care @ Woodlands,2 Woodlands Rise Woodlands Care Home Singapore 737749,737749,3/12/2026
146,Vanguard Senior Care Centre @ Bukit Batok,11 Bukit Batok West Avenue 9 Bukit Batok Care Home Singapore 657995,657995,3/12/2026
147,Vanguard Senior Care Centre @ Tampines,31 Tampines Street 61 Tampines Care Home Singapore 528564,528564,3/12/2026
148,Yong-En Care Centre,335A Smith Street #03-57 Singapore 051335,051335,3/12/2026
